model,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
naive_bayes,0.879568949054416,0.0239213493592957,0.42619137136445107,0.0706413706516452,0.1234970387775344,0.024021566956249626,0.06604787379505044,0.013625632524111012,0.9817552004873826,0.018580907975026106
knn,0.9627694526648393,0.008734201077511498,0.6981737324907116,0.06187751022879492,0.5655693834835308,0.049233608045340965,0.416544779072721,0.04563110142772889,0.8835871816580936,0.04384714809586638
decision_tree,0.9673736292341897,0.007315863025361301,0.8062762839432738,0.05338846446805174,0.8595197773750399,0.028907101029050898,0.8020556583803702,0.04166182492854125,0.9268092678347439,0.01799904767066045
