feature,mean_abs_shap
totalBought,0.11811230158730159
avgPrice,0.045266174603174586
very_low_price_entry,0.04092088095238101
position_concentration,0.027355999999999984
size,0.02071968253968253
low_price_entry,0.009545285714285714
account_total_traded_volume,0.009037134920634921
log_totalBought,0.007474912698412704
big_position,0.0029159603174603184
