model,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
random_forest,0.996467712312554,0.0006439738210031349,0.9512447377697244,0.013696641442226345,0.8673717507566252,0.023490124845333145,0.800398153981544,0.027788417868684516,0.9467246454566107,0.017540706074784255
xgboost,0.9965159414998537,0.00035427684093312554,0.9521074637959976,0.01537223513655754,0.8720324416296066,0.01650754622492448,0.8199272749000475,0.018753607698838985,0.9316933395593937,0.02421092482651414
mlp,0.9419148010894632,0.021529719214302113,0.7473307998924603,0.05470128255774494,0.6574778950034277,0.06453295488395738,0.5217795291204004,0.08123897183835004,0.9033382740644595,0.040521181610591935
logreg,0.8018452835969839,0.11191138463112399,0.3578780411595492,0.08871584512378312,0.19883276858371093,0.04360651502377108,0.11401086867783106,0.026168507545949245,0.8298269518232196,0.1936145740341757
