model,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
xgboost,0.9965159414998536,0.0003542768409331,0.9521074637959976,0.0153722351365575,0.8720324416296066,0.0165075462249244,0.8199272749000475,0.0187536076988389,0.9316933395593936,0.0242109248265141
random_forest,0.996467712312554,0.0006439738210031,0.9512447377697244,0.0136966414422263,0.8673717507566252,0.0234901248453331,0.800398153981544,0.0277884178686845,0.9467246454566108,0.0175407060747842
decision_tree,0.9673736292341896,0.0073158630253613,0.8062762839432738,0.0533884644680517,0.8595197773750399,0.0289071010290508,0.8020556583803702,0.0416618249285412,0.926809267834744,0.0179990476706604
knn,0.9627694526648392,0.0087342010775114,0.6981737324907116,0.0618775102287949,0.5655693834835308,0.0492336080453409,0.416544779072721,0.0456311014277288,0.8835871816580936,0.0438471480958663
mlp,0.941580654003714,0.0220831893284912,0.7413135350615281,0.0623938564637547,0.6449344615175858,0.0835109911773407,0.5075348518645708,0.0998716905908909,0.906878097073309,0.0353367673377135
naive_bayes,0.879568949054416,0.0239213493592957,0.426191371364451,0.0706413706516452,0.1234970387775344,0.0240215669562496,0.0660478737950504,0.013625632524111,0.9817552004873826,0.0185809079750261
logreg,0.8018452835969839,0.111911384631124,0.3578780411595492,0.0887158451237831,0.1988327685837109,0.043606515023771,0.114010868677831,0.0261685075459492,0.8298269518232196,0.1936145740341757
