,size,avgPrice,totalBought,account_total_traded_volume,position_concentration,low_price_entry,very_low_price_entry,big_position,log_totalBought
count,12161.0,12161.0,12161.0,12161.0,12161.0,12161.0,12161.0,12161.0,12161.0
mean,4911.588,0.414,33688.125,26123518.461,0.051,0.52,0.469,0.396,6.967
std,52237.704,0.418,146045.645,73939991.476,0.133,0.5,0.499,0.489,3.452
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.02,59.993,29486.756,0.0,0.0,0.0,0.0,4.111
50%,0.0,0.234,1833.32,625830.875,0.001,1.0,0.0,0.0,7.514
75%,0.01,0.93,20549.52,11878598.34,0.015,1.0,1.0,1.0,9.931
max,1038207.524,0.999,4793353.833,679881107.708,1.0,1.0,1.0,1.0,15.383
